Rank,Title,Synopsis,keyword,biggenre,genre
1,精霊に「お前は俺たちの主人に相応しくない、契約破棄してくれ！」と言われたので、欲しがっている妹に譲ることにしました,"「魔力のないお前は俺たちの主人に相応しくない、契約破棄してくれ！」
　契約していた精霊にそう告げられ、ミスティア・レッドフィールド男爵令嬢は呆然とした。
「精霊様方もこう仰っていますし、崇高なるお力をベストな状態で奮って頂かねば。お姉様、どうか契約主の御立場を私に譲ってくださいませ！」
　精霊たちを自らの傍に侍らせながら、アリーシャ・レッドフィールド男爵令嬢が言った。
　上位精霊に見劣りしない可愛らしい容姿に、愛嬌のある性格――そして潤沢な魔力量。なにもかもがミスティアとは正反対である。しかしつたないながらも、ミスティアは精霊達のために身をなげうって努力してきた。だが全ては無駄だったらしい。
（――なら、差し上げるわ）
　ミスティアは妹であるアリーシャに精霊達を譲ることを決意する。失意のミスティアだったが、そんな彼女にある救いの手が差し伸べられるのだった――。
※書き溜めておりますので、しばらく毎日更新予定です。",シリアス 女主人公 西洋 チート 魔法 ハッピーエンド ヤンデレ 精霊 令嬢 契約破棄 欲しがりの妹 ざまぁ もう遅い 溺愛 R15 残酷な描写あり,1,101
2,【書籍化】捨てられ才女は家族と一緒にのんびり生きることにします,"幼い頃から才媛と称えられてきた令嬢アンネリーゼ。
しかし、婚約者である王太子に、
婚約破棄された上、追放を告られる。
娘への対応に憤った一家は、揃って隣国へ移住することに。
幼い双子の弟妹のために、絵本を作ったり、
美容品や計算機、冷蔵庫に便利グッズを作り、
貧しい人のための病院を作ったりと大活躍！
そんなアンネリーゼの噂を知った周辺諸国は彼女を手に入れるために動き出して…！？

4/26 異世界総合週間3位！　異世界恋愛週間3位！
4/13 異世界総合週間1位！　異世界恋愛週間１位！
4/26 異世界総合月間2位！　異世界恋愛月間2位！
ありがとうございます♡",ほのぼの 女主人公 西洋 チート 転生チート 純愛 婚約破棄 追放 他国に移住 業務改革 アイテム作成 事業 商才 R15 残酷な描写あり 異世界転生 異世界転移,1,101
3,【第二部開始】巻き込まれて召喚された限界OL、ギルド所属の【魔物解体嬢】として奮闘中〜ドラゴンですか？もちろん捌けます！〜,"
　◇◆書籍化進行中◆◇

え？　聖女召喚に巻き込まれた？
想定外の事故？　元の世界に帰れない？
……え？【解体】スキルってなんですか？

社会人2年目、ブラック企業に勤めるサチはいつものように終電間際まで働いて帰路を急いでいると、突然眩い光に包まれて意識を失った。
目を覚ますと「聖女召喚成功だ！」と盛り上がる人々と、『聖女』と持て囃される1人の女子高生の姿が。
え？　これってアニメとか漫画でよく見る異世界召喚ってやつ？
そう思っていると、「あっちはどうする？」「魔法陣に入ってしまったのか？」「なんてこった」「間違いだ」と何とも失礼な話をしているではないか。
は？　聖女召喚の魔法陣にたまたま私が乗っていた？　巻き込まれ？　事故？
おまけに【天恵（ギフト）】と呼ばれる特異な能力の鑑定を受けると、【解体】と診断されたサチ。
魔王討伐には不要と捨て置かれるが、冒険者ギルドのサブマスターに「ギルドで働かないか」とスカウトされる。
案内されたのは冒険者が持ち込んだ魔物を素材別に解体する血生臭くて過酷な『魔物解体カウンター』（※超多忙）。
……え？　私の職場、ここなんですか？

聖女召喚に巻き込まれた限界OLサチは、ギルドの『魔物解体カウンター』で毎日激務をこなしながら異世界で逞しく生きていく！　……つもりが、なんでクエストに出ることになってるの！？

※魔物を解体するシーンがあるので保険で残酷描写有りにしています
※マッグガーデン・ノベルズ様にて書籍化進行中です
※カクヨム様でも公開中

◇ハイファン、異世界転生/転移(ファンタジー)にて日間総合1位、週間総合1位、月間総合1位いただきました！",女主人公 職業もの チート 日常 異世界召喚 巻き込まれ 恋愛要素あり 魔物 書籍化進行中 残酷な描写あり 異世界転移,2,201
4,【連載版】カバンの勇者の異世界のんびり旅～ハズレ勇者と王城から追放され奈落に落とされた。でも実はカバンは何でも吸収できるし、日本から何でも取り寄せられるチート武器だった。今更土下座されても戻る気はない,"
　高校生の僕【佐久平《さくだいら》　啓介】はある日、異世界に【カバンの勇者】として召喚される。

　カバンなんて使えないからという理由で、召喚主である女王から、追放処分をうける。

　その後、最難関ダンジョンに放り出された僕は、そのまま死ぬ……と思われた。
　しかし……。

「え、カバンって攻撃も、モンスターも収納できるの！？」

「え！？　現実から食べ物も飲み物のも、とり寄せ放題なの！？」

　意外と、このカバン……チートでした。
　魔王討伐という任務から解放された僕は、このチートカバンを手に、異世界をのんびり旅することになったのだった。",男主人公 主人公最強 追放 ざまぁ もう遅い スローライフ 無自覚最強 残酷な描写あり 異世界転移,2,201
5,悪役令嬢からの離脱前２４時間,【母親殺し】の悪役令嬢と呼ばれるエリーゼが「青薔薇の王国」という小説の世界に転生している、と気づいたのは自分が死ぬ２４時間前であった。故にエリーゼは小説の世界からの解放を目指して、叛旗を翻したのであった。,冤罪 悪役令嬢 婚約破棄 最強の護衛 残酷な描写あり 異世界転生,1,101
6,【連載版】追放後の悪役令嬢は、森の中で幸せに暮らす～ウサギの呪いを解きたくない～,"第一王子ローゼウスの婚約者となったミラ。
体の弱いローゼウスの為に、これまで自分の生活を犠牲にしながら王子妃教育に薬学も学び、尽くしてきた。
だが、そんな時、妹であるオリビアが聖女であること判明し！？
ミラは怪しい薬をローゼウスに呑ませたとして、罪人として顔を焼かれ森に追放される。

それから２年後。呪われたウサギの王子に出会ったことで、ミラの運命がまた動き始める。



",女主人公 追放 ざまぁ 獣化 ウサギ 作者はアホの子,1,101
7,そんな事を言われましても,第三王子ハルトヴィンと婚約した侯爵令嬢フロレンティーナは、ある日王都のカフェで見知らぬ女性に絡まれた。転生の知識も特別な才能もないけれども、仲良くなるのには、ほんのちょっとの思いやりがあれば良かったという話。あるいは転生者によるバタフライエフェクトの結果。,女主人公 西洋 チート 悪役令嬢 異世界転生,1,101
8,(第一部完結、第二部更新中)乙女ゲームヒロインの『引き立て役の妹』に転生したので立場を奪ってやることにした,"乙女ゲームの主人公の引き立て役である出来の悪い妹に転生してしまったミモザ。
天然無神経な姉、いじめてくる幼馴染、殺意の高すぎる相棒の精霊ー……
奪われ続ける人生に嫌気がさし、せめて一つだけても奪い返してやろうとゲーム内で唯一ミモザのことを褒めてくれていた最強の精霊騎士レオンハルトへ弟子入りをして反撃へと打って出る。
狙うのはーー最強の精霊騎士の座。

※ファンタジーものです。恋愛要素あります。悪役令嬢ではないですが、ゲームの悪役に転生します。

※この作品はアルファポリス様、カクヨム様でも同じタイトルで書かせていただいています。",女主人公 ハッピーエンド 年の差 乙女ゲーム ざまぁ 悪役 恋愛 溺愛(予定) コメディ 成り上がり要素あり R15 残酷な描写あり 異世界転生,1,101
9,神様、婚約者様と聖女様が不貞を働いたそうですが？,"悪魔に国を乗っ取られるかもしれない――
そんな事態を招いたのは、その悪魔を祓う役目を負う聖女様と自分の婚約者だった。",ＥＳＮ大賞６ ほのぼの 女主人公 西洋 中世 年の差 異世界転生,1,101
10,「だから結婚は君としただろう？」,"ホンス伯爵家にはプリシラとリリアラという二人の娘がいた。

黒髪に茶色の瞳の地味なプリシラと、金髪で明るい色彩なリリアラ。両親は妹のリリアラを贔屓していた。
救いは、祖父母伯爵は孫をどちらも愛していたこと。大事にしていた…のに。

プリシラは幼い頃より互いに慕い合うアンドリューと結婚し、ホンス伯爵家を継ぐことになっていた。

それを。
あと一ヶ月後には結婚式を行うことになっていたある夜。

アンドリューの寝台に一糸まとわぬリリアラの姿があった。リリアラは、彼女も慕っていたアンドリューとプリシラが結婚するのが気に入らなかったのだ。自分は格下の子爵家に嫁がねばならないのに、姉は美しいアンドリューと結婚して伯爵家も手に入れるだなんて。

…そうして。リリアラは見事に伯爵家もアンドリューも手に入れた。

けれどアンドリューは改めての初夜の夜に告げる。

「君を愛することはない」

と。

わがまま妹に寝取られた物語ですが、寝取られた男性がそのまま流されないお話。そんなことしたら幸せになれるはずがないお話。
",ハッピーエンド バッドエンド 婚約破棄 姉妹格差 寝取り 寝取られ 仕返し ざまぁ R15,1,101
11,老女召喚〜聖女はまさかの80歳？！〜城を追い出されちゃったけど、何か若返ってるし、元気に異世界で生き抜きます！〜,"　瘴気に脅かされる王国があった。それを祓うことが出来るのは異世界人の乙女だけ。王国の幹部は伝説の『聖女召喚』の儀を行う。だが現れたのは1人の老婆だった。「召喚は失敗だ！」聖女を娶るつもりだった王子は激怒した。そこら辺の平民だと思われた老女は金貨１枚を与えられると、城から追い出されてしまう。実はこの老婆こそが召喚された女性だった。
　白石きよ子・80歳。寝ていた布団の中から異世界に連れてこられてしまった。始めは「ドッキリじゃないかしら」と疑っていた。頼れる知り合いも家族もいない。持病の関節痛と高血圧の薬もない。しかし生来の逞しさで異世界で生き抜いていく。
　後日、召喚が成功していたと分かる。王や重臣たちは慌てて老女の行方を探し始めるが、一向に見つからない。それもそのはず、きよ子はどんどん若返っていた。行方不明の老聖女を探す副団長は、黒髪黒目の不思議な美女と出会うが…。
　人の名前が何故か映画スターの名になっちゃう天然系若返り聖女の冒険。全14話。",ギャグ 女主人公 西洋 魔法 ハッピーエンド 聖女召喚 若返り ドラゴン おばあちゃんの知恵 映画スター 女性向け 異世界転移,2,201
